Symbol,ad
PAPIL,PAPİLON SAVUNMA
PARSN,Parsan Makina Parçaları Sanayii A.Ş.
PCILT,PC İletişim ve Medya Hizmetleri
PEGYO,Pera Gayrimenkul Yatırım Ortaklığı A.Ş.
PEKGY,Peker Gayrimenkul Yatırım Ortaklığı A.Ş.
PENGD,Penguen Gıda Sanayi A.Ş.
PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ
PETKM,Petkim Petrokimya Holding A.Ş.
PETUN,Pınar Entegre Et Ve Un Sanayii A.Ş.
PGSUS,Pegasus Hava Taşımacılığı A.Ş.
PINSU,Pınar Su Sanayi Ve Ticaret A.Ş.
PKART,Plastikkart Akıllı Kart İletişim Sistemleri Sanayi
PKENT,Petrokent Turizm A.Ş.
PLTUR,PALTFORM TURİZM
PNLSN,PANELSAN
PNSUT,Pınar Süt Mamülleri Sanayii A.Ş.
POLHO,Polisan Holding A.Ş.
POLTK,Politeknik Metal Sanayi ve Ticaret A.Ş.
PRDGS,PARDUS GIRISIM
PRKAB,Türk Prysmian Kablo ve Sistemleri A.Ş.
PRKME,Park Elektrik Üretim Madencilik Sanayi ve Ticaret 
PRZMA,Prizma Pres Matbaacılık Yayıncılık Sanayi ve Ticar
PSDTC,Pergamon Status Dış Ticaret A.Ş.
PSGYO,PASİFİK GMYO
QNBFB,QNB Finansbank Anonim Şirketi
QNBFL,QNB FINANS FİNANSAL KİRALAMA A.Ş
QUAGR,QUA GRANİTE
QUAGRHE,QUA GRANİTE
RALYH,RAL YATIRIM HOLDING
RAYSG,Ray Sigorta A.Ş.
RHEAG,Rhea Girişim Sermayesi Yatırım Ortaklığı A.Ş.
RNPOL,RAİNBOW POLİKARBONAT
RODRG,Rodrigo Tekstil Sanayi Ve Ticaret Anonim Şirketi
ROYAL,Royal Halı İplik Tekstil Mobilya San. ve Tic. A.Ş.
RTALB,RTA Laboratuvarları Biy. Ürünler İlaç ve Makine Sa
RUBNS,RUBENİS TEKSTİL
RYGYO,Reysaş Gayrimenkul Yatırım Ortaklığı A.Ş.
RYSAS,Reysaş Taşımacılık ve Lojistik Ticaret A.Ş.
